1-Party|A|#|CR|137634194.23076294|0|-137634194.23076294
1-Party|A|#|CR|284073441.2572438|0|-284073441.2572438
1-Party|F|#|CR|150488069389.0316283|80100.2952242|-150487989288.7364041
1-Party|K|#|CR|7461927.68|7461927.68|0
1-Party|N|V|DR|-17865.3214916|0|17865.3214916
1-Party|O|#|DR|-43058011.639055|-43265483.578458|-207471.939403
1-Party|T|#|DR|-913962128.62585775|-933760966.92188596|-19798838.29602821
1-Party|T|V|CR|34204264.5212117|43111393.7314787|8907129.210267
1-Party|Z|#|CR|6331598964.60957006|6320609881.46536406|-10989083.144206
1-Party|b|V|DR|-150|0|150
2-Party|2|#|CR|1544524464.2431782|1544167068.1215242|-357396.121654
2-Party|J|#|DR|-625897138.7787802|-625770598.3189784|126540.4598018
2-Party|U|#|CR|210912578234.19973288|198181581842.6701961|-12730996391.52953678
1-Party||#|DR|-137658916.76607694|0|137658916.76607694
1-Party|3|#|CR|1969546723.2223903|1980419813.6857604|10873090.4633701
1-Party|A|#|DR|-145117431109.96920859|-143357841693.21174414|1759589416.75746445
1-Party|A|V|CR|1502348249.39349502|1786369584.81078352|284021335.4172885
1-Party|B|#|CR|40450748.51|40369481.57|-81266.94
1-Party|F|#|DR|-155291635597.1236819|-4561151749.6733898|150730483847.4502921
1-Party|F|V|CR|18935545856.9541098|245063556.3647044|-18690482300.5894054
1-Party|G|#|CR|280103669.9903845|280010121.2203571|-93548.7700274
1-Party|T|V|DR|-5743.5199638|0|5743.5199638
1-Party|Z|#|DR|-3187600736.8161788|-3176188985.7381742|11411751.0780046
2-Party|2|#|DR|-18911716163.4490185|-18910411978.7378527|1304184.7111658
2-Party|2|V|CR|1025054.4256221|231.7747903|-1024822.6508318
2-Party|U|#|DR|-37759274204.7926015|-37044934399.7633277|714339805.0292738
2-Party|U|V|CR|607831230.51009017|13261525719.3468545|12653694488.83676433
1-Party|3|#|DR|-139837483.1850565|-141362879.6673369|-1525396.4822804
1-Party|A|V|DR|0|-1757086525.66853941|-1757086525.66853941
1-Party|B|#|DR|-2659146092.84|-2659051818.78|94274.06
1-Party|F|V|DR|-18689897439.8485834|-242249152.0584572|18447648287.7901262
1-Party|G|#|DR|-70645.50094|0|70645.50094
1-Party|G|V|CR|0|24087.1754334|24087.1754334
1-Party|H|#|CR|4819287443.6389842|4819983375.3446514|695931.7056672
1-Party|R|#|CR|3227067745.54671967|3227544585.64602466|476840.09930499
2-Party|*|#|CR|12315.8142506|10101.27917|-2214.5350806
2-Party|2|V|DR|-150511.8392108|-6.7747903|150505.0644205
2-Party|C|#|CR|25891187.8859317|24537757.9051443|-1353429.9807874
2-Party|U|V|DR|-13904968338.4817119|-14521275931.3926888|-616307592.9109769
1-Party|5|#|CR|36505850.2237139|266039295.4296815|229533445.2059676
1-Party|G|V|DR|-23415.2380154|-23415.2380154|0
1-Party|H|#|DR|-83742996.5893415|-90235495.5047335|-6492498.915392
1-Party|H|V|CR|165.894387|0|-165.894387
1-Party|N|#|CR|88471459.0136919|88137084.3882502|-334374.6254417
1-Party|R|#|DR|-36554.8141895|0|36554.8141895
1-Party|S|#|CR|341349957.387429|341507404.576245|157447.188816
1-Party|W|#|DR|-49682386.12|-49772018.42|-89632.3
1-Party|W|V|CR|193194.13|8921657.37|8728463.24
1-Party|X|#|CR|7871335575.398028777|7868823440.95881298|-2512134.439215797
1-Party|b|#|CR|2690995.624826|2677390.491826|-13605.133
2-Party|*|#|DR|-2330331.7750134|-2042928.6862986|287403.0887148
2-Party|*|V|CR|417110.2282812|428534.9995766|11424.7712954
2-Party|C|#|DR|-556588853.9774125|-535082343.1766027|21506510.8008098
2-Party|C|V|CR|31302459.5930726|32672181.659672|1369722.0665994
1-Party|5|#|DR|-918862627.2213342|-1148217707.9430431|-229355080.7217089
1-Party|H|V|DR|-57480675.2801963|-51092364.0581837|6388311.2220126
1-Party|N|#|DR|-25432217.3238561|-25511545.1013773|-79327.7775212
1-Party|O|#|CR|88.82|0|-88.82
1-Party|S|#|DR|-4790.68|0|4790.68
1-Party|T|#|CR|28832.04054|28138.72|-693.32054
1-Party|X|#|DR|-10428805942.191571407|-10426146405.96824771|2659536.223323697
1-Party|b|#|DR|-265929450.159208|-264190317.90685|1739132.252358
1-Party|b|V|CR|368822.924043|367961.084043|-861.84
2-Party|*|V|DR|-6142.3698758|-323782.6974408|-317640.327565
2-Party|C|V|DR|-1686900.5228936|-23179453.9749295|-21492553.4520359
2-Party|J|#|CR|267529697.9303498|267324833.4628042|-204864.4675456
